id,message_main_attachment_id,default_code,active,product_tmpl_id,barcode,combination_indices,volume,weight,can_image_variant_1024_be_zoomed,create_uid,create_date,write_uid,write_date,l10n_eg_eta_code,product_ref,downpayment_journal_id
427804,,,true,431667,,"",,,false,20,2025-06-22 20:33:36.054180,20,2025-06-22 20:33:36.054180,EG-584675690-6223000465363,,
427803,,,true,431666,,"",,,false,20,2025-06-22 20:30:04.487780,20,2025-06-22 20:30:04.487780,EG-584675690-6223000465394,,
427802,,62401,true,431665,6224011374392,"",,,false,35,2025-06-22 09:06:55.042170,57,2025-06-22 10:12:57.454035,,,
427801,,65523,true,431664,,"",,,false,35,2025-06-16 09:55:10.730535,35,2025-06-17 22:11:56.607170,,,
427800,,64168,true,431663,,"",,,false,35,2025-06-16 09:30:33.807656,53,2025-06-16 12:51:32.656102,,,
427799,,65533,true,431662,6223014216203,"",,,false,35,2025-06-16 09:27:27.008821,50,2025-06-18 08:52:55.618792,,,
427798,,64171,true,431661,6222057601342,"",,,false,35,2025-06-16 09:26:52.817791,50,2025-06-18 09:00:37.533869,,,
427797,,65531,true,431660,6223006128507,"",,,false,35,2025-06-16 09:25:40.286838,50,2025-06-18 08:52:22.850580,,,
427796,,65532,true,431659,,"",,,false,35,2025-06-16 09:23:41.354502,53,2025-06-16 12:51:32.656102,,,
427794,,,true,431657,,"",,,false,50,2025-06-10 12:01:23.370228,50,2025-06-10 12:01:23.370228,,,
427793,,,true,431656,6223000714799,"",,,false,20,2025-05-28 22:26:48.363710,20,2025-05-28 22:26:48.363710,6223000710791,,
427792,,,true,431655,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018922,,
427791,,,true,431654,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018885,,
427790,,,true,431653,32894018861,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018861,,
427789,,,true,431652,6222027800201,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800201,,
427788,,,true,431651,6222027800195,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6222027800195,,
427787,,,true,431650,6224000448806,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224000448806,,
427786,,,true,431649,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224007581292,,
427785,,,true,431648,32894022080,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022080,,
427784,,,true,431647,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022202,,
427783,,,true,431646,32894022141,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894022141,,
427782,,,true,431645,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6935897609668,,
427781,,,true,431644,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224007581988,,
427780,,,true,431643,6224007581940,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6224007581940,,
427779,,,true,431642,32894021670,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894021670,,
427778,,,true,431641,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6935897609675,,
427777,,,true,431640,,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,32894018762,,
427776,,,true,431639,6935897609682,"",,,false,20,2025-05-28 20:48:34.105866,20,2025-05-28 20:48:34.105866,6935897609682,,
