id,product_id,company_id,location_id,lot_id,package_id,owner_id,quantity,reserved_quantity,in_date,inventory_quantity,inventory_diff_quantity,inventory_date,inventory_quantity_set,user_id,create_uid,create_date,write_uid,write_date,accounting_date
1252,427797,1,44,,,,10,0,2025-06-16 12:51:36.000000,,-10,2025-12-31,false,,61,2025-06-17 12:44:48.874515,61,2025-06-17 12:44:48.874515,
1251,403162,1,44,,,,23,0,2025-06-16 12:51:36.000000,,-24,2025-12-31,false,,61,2025-06-17 12:44:48.874515,61,2025-06-18 18:47:08.469407,
1250,287834,1,44,,,,39,0,2025-06-16 12:51:36.000000,,-40,2025-12-31,false,,61,2025-06-17 12:44:48.874515,61,2025-06-21 18:49:05.439094,
1249,427801,1,44,,,,155,0,2025-06-17 22:11:56.000000,,-155,2025-12-31,false,,61,2025-06-17 12:44:48.874515,35,2025-06-17 22:14:55.594367,
1247,395136,,4,,,,-48,0,2025-06-16 12:51:36.000000,,48,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1246,427800,1,8,,,,144,0,2025-06-16 12:51:36.000000,,-192,2025-12-31,false,,53,2025-06-16 12:51:32.656102,61,2025-06-17 12:44:48.874515,
1245,427800,,4,,,,-192,0,2025-06-16 12:51:36.000000,,192,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1244,424736,1,8,,,,48,0,2025-06-16 12:51:36.000000,,-240,2025-12-31,false,,53,2025-06-16 12:51:32.656102,53,2025-06-22 13:20:08.572245,
1243,424736,,4,,,,-240,0,2025-06-16 12:51:36.000000,,240,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1242,427796,1,8,,,,48,0,2025-06-16 12:51:36.000000,,-288,2025-12-31,false,,53,2025-06-16 12:51:32.656102,53,2025-06-22 13:20:08.572245,
1241,427796,,4,,,,-288,0,2025-06-16 12:51:36.000000,,288,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1239,288558,,4,,,,-96,0,2025-06-16 12:51:36.000000,,96,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1237,427798,,4,,,,-96,0,2025-06-16 12:51:36.000000,,96,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1236,355894,1,8,,,,20,0,2025-06-16 12:51:36.000000,,-40,2025-12-31,false,,53,2025-06-16 12:51:32.656102,61,2025-06-17 12:44:48.874515,
1235,355894,,4,,,,-40,0,2025-06-16 12:51:36.000000,,40,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1234,404260,1,8,,,,30,0,2025-06-16 12:51:36.000000,,-60,2025-12-31,false,,53,2025-06-16 12:51:32.656102,61,2025-06-17 12:44:48.874515,
1233,404260,,4,,,,-60,0,2025-06-16 12:51:36.000000,,60,,false,,53,2025-06-16 12:51:32.656102,53,2025-06-16 12:51:32.656102,
1232,411977,1,8,,,,16,0,2025-06-16 12:51:36.000000,,-40,2025-12-31,false,,53,2025-06-16 12:51:32.656102,53,2025-06-22 13:20:08.572245,
