id,campaign_id,source_id,medium_id,message_main_attachment_id,access_token,name,origin,client_order_ref,reference,state,date_order,validity_date,require_signature,require_payment,create_date,user_id,partner_id,partner_invoice_id,partner_shipping_id,pricelist_id,currency_id,analytic_account_id,invoice_status,note,amount_untaxed,amount_tax,amount_total,currency_rate,payment_term_id,fiscal_position_id,company_id,team_id,signed_by,signed_on,commitment_date,show_update_pricelist,create_uid,write_uid,write_date,order_ref,sale_order_template_id,c_move_id,incoterm,picking_policy,warehouse_id,procurement_group_id,effective_date,invoice_status_job,c_reversed_move_id,auto_generated,auto_purchase_order_id,c_reversed_moves_count,opportunity_id,project_id,po_number,move_entry_id,move_entry_refund_id
2441413,,,,,,S2429659,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 10:01:01.872727,2,3311,3311,3311,4,74,,to invoice,<p>order_fees -985441050571</p>,36.83,5.16,41.99,1,,,1,1,,,,,2,2,2025-06-23 10:01:01.872727,SupplierBalance-5755224,,16219576,,direct,1,,,to_invoice,,,,0,,,,,
2441412,,,,,,S2429658,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 10:00:58.704479,2,3311,3311,3311,4,74,,to invoice,<p>penalty -985441050571</p>,3.77,0.53,4.3,1,,,1,1,,,,,2,2,2025-06-23 10:00:58.704479,SupplierBalance-5755225,,16219574,,direct,1,,,to_invoice,,,,0,,,,,
2441411,,,,,,S2429657,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:58:34.268472,2,3109,3109,3109,4,74,,to invoice,<p>penalty -333268199471</p>,42.49,5.95,48.44,1,,,1,1,,,,,2,2,2025-06-23 09:58:34.268472,SupplierBalance-5755219,,16219568,,direct,1,,,to_invoice,,,,0,,,,,
2441410,,,,,,S2429656,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:58:31.672380,2,3109,3109,3109,4,74,,to invoice,<p>order_fees -333268199471</p>,106.22,14.87,121.09,1,,,1,1,,,,,2,2,2025-06-23 09:58:31.672380,SupplierBalance-5755218,,16219566,,direct,1,,,to_invoice,,,,0,,,,,
2441409,,,,,,S2429655,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:30.552870,2,4806,4806,4806,4,74,,to invoice,<p>order_fees -26859840571-Installment</p>,39.65,5.55,45.2,1,,,1,1,,,,,2,2,2025-06-23 09:57:30.552870,SupplierBalance-5755213,,16219555,,direct,1,,,to_invoice,,,,0,,,,,
2441408,,,,,,S2429654,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:22.224653,2,203254,203254,203254,4,74,,to invoice,<p>delivery_fee_back_margin -39079650571</p>,44.49,6.23,50.72,1,,,1,1,,,,,2,2,2025-06-23 09:57:22.224653,SupplierBalance-5755210,,16219541,,direct,1,,,to_invoice,,,,0,,,,,
2441407,,,,,,S2429653,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:21.243833,2,203254,203254,203254,4,74,,to invoice,<p>order_fees -39079650571</p>,44.49,6.23,50.72,1,,,1,1,,,,,2,2,2025-06-23 09:57:21.243833,SupplierBalance-5755211,,16219540,,direct,1,,,to_invoice,,,,0,,,,,
2441406,,,,,,S2429652,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:17.846465,2,5306,5306,5306,4,74,,to invoice,<p>order_fees -356030430571</p>,87.56,12.26,99.82,1,,,1,1,,,,,2,2,2025-06-23 09:57:17.846465,SupplierBalance-5755209,,16219539,,direct,1,,,to_invoice,,,,0,,,,,
2441405,,,,,,S2429651,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:07.354827,2,3215,3215,3215,4,74,,to invoice,<p>penalty -841763130571</p>,9.9,1.39,11.29,1,,,1,1,,,,,2,2,2025-06-23 09:57:07.354827,SupplierBalance-5755206,,16219534,,direct,1,,,to_invoice,,,,0,,,,,
2441404,,,,,,S2429650,,,,sale,2025-06-23 00:00:00.000000,,true,false,2025-06-23 09:57:05.056838,2,3215,3215,3215,4,74,,to invoice,<p>order_fees -841763130571</p>,49.63,6.95,56.58,1,,,1,1,,,,,2,2,2025-06-23 09:57:05.056838,SupplierBalance-5755205,,16219532,,direct,1,,,to_invoice,,,,0,,,,,
